name,MetalContent,Metal,GradingService,ProductType,BullionType,CountryofOrigin,SellFormula,Rank
2006 China 1 oz Silver Panda (Colored) (Light Abrasions),1,2,5,3,2,7,3,4
2016 Somalia 1/10 oz Gold African Elephant BU,0.1,1,5,3,2,13,15,4
2016 Somalia 1/2 gram Gold African Elephant BU,0.016,1,5,3,2,13,3,4
1986-2015 30-Coin Proof Silver Eagle Set PF-69 NGC (inc. 1995-W),30,2,2,3,13,1,3,4
Great Britain Gold 1/20 oz Britannia BU/Proof (Random Year),0.05,1,5,3,2,223,1,4
2016 Somalia 1/50 oz Gold African Elephant BU,0.02,1,5,3,2,13,3,4
2016 Somalia 1/25 oz Gold African Elephant BU,0.04,1,5,3,2,13,15,4
1982 2 Sheqel Baron Edmond Rothschild MS-67 UCAM NGC,0.78,2,2,3,2,79,3,4
1982 2 Sheqel Baron Edmond Rothschild PF-68 UCAM NGC,0.78,2,2,3,13,79,3,4
1982 Israel Gold 10 Sheqalim Baron Edmond Rothschild PF-69 NGC,0.5,1,2,3,13,79,1,4
2015 Australia Silver $5 Eternal Love Heart Coin PF-70 UCAM NGC,1,2,2,3,13,4,3,4
2016 Niue 1 oz Silver $2 Star Wars Darth Vader PF-70 UCAM NGC,1,2,2,3,13,52,3,4
1999 China 1 oz Silver Panda BU Gilded Beijing Expo MS-67 NGC,1,2,2,3,2,7,3,4
2016 China 8 Gram Gold Panda MS-70 NGC (Early Releases),0.2572,1,2,3,2,7,1,4
2016 China 15 Gram Gold Panda MS-70 NGC (ER),0.48225,1,2,3,2,7,1,4
2016 Canada 1 oz Silver Maple Leaf Lunar Panda Privy,1,2,5,2,2,2,1,4
2016 Somalia 1 oz Silver Elephant (Gilded) (Light Abrasions),1,2,5,3,2,13,3,4
1 Kilo Silver Bar - Southern Cross Bullion,1,2,5,1,3,13,1,4
2016 China 30 Gram Gold Panda MS-70 NGC (ER),0.9645,1,2,3,2,7,1,4
1 kilo Silver Bar - Southern Cross Bullion (Cast),32.15,2,5,1,3,13,1,4
